Age,Mean,Std
1003.500000,27.016859,5.111749
1008.500000,65.105861,3.732145
1013.500000,27.036741,4.232927
1018.500000,17.468180,4.097031
1023.500000,66.641083,3.808317
1028.500000,59.177952,3.230396
1033.500000,27.971881,3.503761
1038.500000,19.621509,3.536262
1043.500000,21.189972,3.625875
1048.500000,29.755765,3.395599
1053.500000,81.093124,8.451528
1058.500000,136.755406,12.483645
1063.500000,78.562004,4.990969
1068.500000,68.924047,3.024691
1073.500000,43.302763,3.651831
1078.500000,66.757145,4.191621
1083.500000,80.469764,4.815501
1088.500000,73.316827,3.654284
1093.500000,51.303381,3.222689
1098.500000,25.078392,3.718226
1103.500000,31.497543,3.556664
1108.500000,61.668441,4.175496
1113.500000,68.541106,3.977286
1118.500000,66.053686,4.062585
1123.500000,46.454472,6.420174
1128.500000,80.368359,8.610452
1133.500000,58.784010,3.486471
1138.500000,82.900520,4.957214
1143.500000,98.894989,7.245285
1148.500000,85.109274,4.607240
1153.500000,78.395405,4.069434
1158.500000,69.024370,3.913273
1163.500000,66.395369,4.106037
1168.500000,37.462655,4.011578
1173.500000,69.054241,3.764637
1178.500000,71.730964,3.689954
1183.500000,84.793031,4.274907
1188.500000,85.548550,4.100720
1193.500000,41.895724,3.837252
1198.500000,66.478347,3.975253
1203.500000,90.671120,7.383814
1208.500000,51.267499,4.821052
1213.500000,79.004033,5.176027
1218.500000,76.714064,5.529942
1223.500000,63.571681,5.240077
1228.500000,65.146432,3.770929
1233.500000,39.533940,4.815445
1238.500000,56.320806,5.028682
1243.500000,75.891703,4.103561
1248.500000,281.325950,128.554375
1253.500000,64.418686,4.315706
1258.500000,48.289343,3.269604
1263.500000,61.557552,2.867695
1268.500000,98.451798,6.606952
1273.500000,80.492655,6.736116
1278.500000,38.062189,3.638350
1283.500000,33.357517,3.319712
1288.500000,30.407981,2.751793
1293.500000,31.590544,3.021973
1298.500000,65.368261,4.712487
1303.500000,82.983034,4.561959
1308.500000,54.363086,3.600738
1313.500000,65.510599,3.775930
1318.500000,129.494987,20.078894
1323.500000,50.900766,3.324556
1328.500000,44.177794,3.198086
1333.500000,47.682652,4.871082
1338.500000,32.846642,4.719786
1343.500000,66.734121,3.514780
1348.500000,53.548653,3.759223
1353.500000,39.968289,3.961951
1358.500000,45.616354,3.037850
1363.500000,40.611551,3.326185
1368.500000,58.687518,2.784973
1373.500000,61.342177,4.020794
1378.500000,27.238190,3.117939
1383.500000,13.844400,4.225938
1388.500000,24.952565,4.047499
1393.500000,57.280250,3.551844
1398.500000,60.222303,3.393571
1403.500000,55.260331,3.141419
1408.500000,47.332190,3.180880
1413.500000,60.416689,3.889461
1418.500000,49.195389,4.363261
1423.500000,36.564295,3.660468
1428.500000,63.097642,2.889395
1433.500000,56.264102,2.853471
1438.500000,34.621679,3.952376
1443.500000,69.506330,5.774803
1448.500000,100.723122,9.978477
1453.500000,54.058231,9.275666
1458.500000,122.761921,11.016705
1463.500000,162.507567,14.629282
1468.500000,84.802445,5.224596
1473.500000,73.618687,4.664895
1478.500000,69.575376,5.594123
1483.500000,60.085497,4.117170
1488.500000,66.970746,4.639611
1493.500000,80.565340,5.934637
